Hello World
boy : 396
why : 264
cup : 264
they : 1188
fell : 132
knowing : 132
reason : 132
no : 660
you've : 132
excursions : 132
rock : 132
french : 132
of : 4488
help : 132
shops : 132
bread : 132
anybody : 264
only : 264
on : 1056
says : 396
her : 4488
commercial : 132
carry : 132
knife : 132
leg--here--and : 132
wonderful : 132
heart : 396
or : 1452
hurriedly : 132
done : 396
son : 132
bad : 1056
emotion : 132
suppose : 132
thinking : 132
them : 660
mend : 264
then : 792
will : 396
book-shop : 132
small : 264
hedges--a : 132
getting : 264
home : 396
plenty : 132
knotted : 132
thought : 264
most : 132
road : 132
across : 132
roused : 264
looking : 396
thank : 132
clean : 264
rather : 528
me : 264
painter : 132
heaton : 132
smallish : 132
water : 132
held : 132
peaceful : 132
commotion : 132
creature : 132
waited : 132
don't : 264
it's : 1716
my : 924
dangerous : 132
thinks : 132
clean-blooded : 132
within : 132
telling : 132
cut : 132
described : 132
lout : 132
you're : 132
save : 132
being : 132
entered : 132
him : 1848
every : 132
where : 132
fever : 132
love : 264
almost : 660
his : 4224
family : 396
muscles : 132
trail : 132
when : 2508
perfectly : 132
wonder : 396
none : 132
train : 132
dirt : 132
torture : 132
live : 264
scream : 132
isn't : 132
such : 132
trailing : 132
liked : 132
doubt : 132
heavy : 132
wednesdays : 132
humiliation : 132
owned : 132
pieces : 264
paul : 1188
mother : 660
strong : 396
whole : 396
butties : 132
thin : 132
this : 792
die--it : 132
train--and : 132
lost : 264
becomes : 132
quick : 132
clog : 132
from : 660
suffered : 132
while : 264
was : 6336
father : 396
real : 132
whoam--'e : 132
if : 1320
seemed : 264
below : 132
indifferent : 132
shillings : 528
stuck : 132
between : 132
those : 264
is : 1320
it : 3168
agonies : 132
gives : 132
task : 132
your : 132
gets : 132
into : 792
taught : 132
know : 660
in : 4356
two : 264
away : 264
hurt : 264
felt : 660
blue : 132
looked : 660
cossed : 132
shirt--and : 132
proud : 132
things : 528
earn : 132
remained : 132
also : 132
nottingham : 132
hanged : 132
found : 264
understand : 264
thumb's : 132
handle : 132
compound : 132
trudging : 132
knew : 396
nice : 132
its : 264
forward : 132
interest : 132
drink : 132
combed : 132
paints : 132
fourteen : 132
bulging : 132
piece : 132
awfully : 132
going : 396
how : 396
waiting : 132
fuss : 264
under : 132
journey : 132
always : 264
worn't : 132
rubbed : 132
thirty : 132
afraid : 132
thirty-five : 132
bottom : 132
coming : 264
lot : 132
we : 264
ways : 132
face : 396
sort : 396
saturdays : 132
i've : 132
brought : 132
exclaimed : 264
s'll : 528
critical : 132
easy : 132
racing : 132
happy : 264
best : 132
baby : 132
proceeded : 132
healing : 132
hair : 132
seed : 264
dressed : 132
progressing : 132
come : 528
back : 264
up : 660
careless : 132
string : 132
sorry : 132
doesn't : 132
keen : 132
laid : 132
they'd : 132
down : 132
part : 132
quickly : 264
garden : 132
fraser : 132
week : 528
keep : 132
to : 7392
half : 132
round : 132
quick-stepping : 132
good : 132
somewhere : 264
must : 528
didn't : 264
after : 264
who's : 132
care : 132
dark : 132
taken : 264
truthfully : 132
shared : 132
what's : 132
raked : 132
however : 132
so : 1452
sipped : 132
pale : 132
finish : 132
that : 2508
failure : 132
adorable : 132
got : 660
ambulance : 132
can : 528
tube : 132
catch : 132
about : 396
children : 264
well : 264
leaving : 132
blessing : 132
four : 132
sticking : 132
granite : 132
thrust : 132
feet : 132
you : 1320
soon : 528
mechanically : 132
school : 132
shillings--so : 132
seven : 264
supporting : 132
regretted--though : 132
learned : 132
anythink : 132
lamp : 132
somewhat : 132
barker--i : 132
very : 1056
out : 792
for : 2772
everything : 132
feels : 132
bring : 132
house : 264
people : 132
kissed : 132
went : 792
course : 264
stockings--he : 132
are : 132
can't : 396
burden : 264
working : 132
tripping : 132
information : 132
fork : 132
did : 528
again : 396
flown : 132
like : 1188
without : 132
putting : 264
quietly : 132
shall : 132
not : 1584
he'll : 792
clown : 132
now : 924
sat : 528
nightmare : 132
blinking : 132
say : 132
afore : 132
bearing : 132
saw : 132
some : 528
outside : 132
crouched : 132
suddenly : 132
might : 264
put : 528
pair : 132
pain : 264
contact : 132
they've : 132
watched : 264
seems : 132
upset : 132
shouted : 132
starting : 132
boiler : 264
tinder : 132
end : 132
want : 660
just : 132
aloud : 132
slowly : 132
let : 264
whilst : 264
brooded : 132
crying : 132
anguish : 132
already : 132
keston : 132
should : 660
gracious : 132
wouldn't : 132
broken : 132
leg : 264
really : 264
annie : 396
allowed : 132
rocking-chair : 132
ten : 264
old : 132
but : 2772
afterwards : 132
send : 132
hate : 132
them--and : 132
mother's : 132
wish : 264
there'd : 132
little : 396
picture-shop : 132
used : 132
fortune : 132
tea : 264
been : 264
dreadful : 132
were : 924
gear : 132
niver : 132
nurse : 264
there's : 792
halfway : 132
three : 264
sure : 132
hill--he : 132
guessed : 132
nasty : 132
undoing : 132
paint : 132
morel--five : 132
son's : 132
himself : 396
sick--sick : 132
knows : 132
programme : 132
faltered : 132
thick : 132
world's : 132
surprising : 132
even : 264
brush : 132
perhaps : 132
ever : 132
ter : 264
postcards : 132
call : 132
other : 132
have : 1716
paper : 132
one : 528
state : 264
setts : 132
pretty : 264
because : 132
share : 132
girl : 264
sharing : 132
accidents : 132
full : 396
wor : 528
ached : 132
bone : 132
wash : 132
ate : 132
die : 132
making : 264
shrinking : 132
couple : 132
they're : 132
resumed : 264
fine : 132
with : 2376
minutes : 264
folk : 132
work-hardened : 132
poor : 264
nearly : 264
the : 11748
came : 528
rules : 132
manual : 132
fret-saw : 132
quite : 528
finely-made : 132
towel : 132
sighed : 264
manly : 132
kidney : 132
their : 264
first : 396
File name: input/input_20.txt
said : 792
murmured : 132
chance : 264
continued : 132
defended : 132
time : 132
over : 528
she : 8844
sympathy : 132
began : 132
something : 264
instant : 132
deep : 132
these : 396
asked : 264
ordinary : 264
tipped : 132
wide : 132
he : 8712
breast : 132
touch : 132
bite : 132
poring : 132
dilated : 132
persuade : 132
herself : 264
big : 264
letters : 132
immense : 132
go : 264
before : 132
stormed : 132
made : 396
mathematics : 132
drawing : 264
slightly : 264
leave : 132
could : 924
side : 264
grew : 264
usually : 132
spurting : 132
tell : 264
do : 924
painting : 132
demanded : 132
look : 396
sane : 132
cabbages : 132
a : 6336
meaning : 132
burning : 132
won't : 132
backing : 132
shimmering : 132
fire : 132
i : 1320
altered : 132
red : 264
persons--the : 132
what : 396
sunset : 132
nothing : 264
yet : 528
body : 264
normal : 132
losing : 132
took : 396
stone : 132
by : 264
trembling : 132
same : 264
who : 264
close : 132
pecked : 132
pondered : 132
would : 660
any : 264
dead : 264
light : 132
had : 1320
be : 1848
think : 132
occasionally : 132
get : 264
seeing : 132
fat : 132
learn : 396
much : 528
and : 7392
near : 132
i'd : 132
often : 132
laughed : 132
doing : 132
day : 264
i'm : 396
make : 264
hope : 132
through : 132
kneeling : 132
lighter : 132
farm : 132
laughing : 132
ecstasy : 264
hands : 132
men : 660
all : 660
quaint : 132
lessons : 132
five : 132
swung : 132
she'll : 132
at : 2904
as : 2508
dazzled : 132
landed : 132
moved : 132
never : 528
intimacy : 132
which : 792
see : 132
ran : 132
stand : 132
take : 132
am : 132
inside : 132
there : 396
an : 264
off : 132
box : 132
brown : 264
why : 264
cup : 132
nobody : 132
they : 660
knowing : 264
no : 264
forgotten : 132
halves : 132
peered : 132
of : 3960
rouse : 132
only : 396
on : 1980
youngest : 132
anybody : 132
her : 7260
everyone : 132
vivified : 132
alight : 132
wonderful : 264
wild : 132
heart : 132
or : 924
bad : 132
flexible : 132
intensely : 132
emotion : 132
managed : 132
them : 264
tangled : 132
jesus : 132
then : 1056
looseness : 132
ought : 132
bringing : 132
folding : 132
abandon : 132
shook : 132
small : 264
varied : 132
different : 132
getting : 132
home : 264
moment : 264
joy : 132
gradually : 264
thought : 132
irritated : 264
aside : 132
roused : 264
looking : 132
clear : 132
boys : 132
rather : 132
me : 264
closed : 132
swayed : 132
kept : 132
water : 132
held : 132
thankful : 132
don't : 792
it's : 396
distinctly : 132
my : 396
cut : 132
laughter : 132
you're : 528
last : 132
sometimes : 132
monday : 132
fragile : 132
being : 132
intense : 132
him : 1056
where : 132
middle : 132
beloved : 132
love : 264
ashes : 264
pine-trees : 132
almost : 528
looks : 132
more : 264
his : 2904
family : 132
when : 792
none : 132
eye : 132
painted : 132
such : 396
wiping : 132
meant : 132
finger : 264
heavy : 132
pieces : 132
miserable : 132
liquid : 132
paul : 660
mother : 264
dissatisfied : 132
mounted : 132
stiff : 132
this : 528
bewilderment : 132
quick : 264
gripped : 264
listened : 132
from : 1056
believe : 132
throwing : 132
was : 4620
real : 132
if : 1452
seemed : 924
lest : 132
less : 132
abstract : 132
is : 924
it : 1848
your : 264
into : 528
in : 5412
know : 396
away : 132
lose : 264
two : 264
hurt : 132
looked : 660
naked : 264
abusing : 132
things : 396
also : 132
swinging : 132
passed : 132
bench : 132
knew : 264
rage : 132
miriam's : 132
its : 132
hearth : 132
eyes : 1320
strange : 132
appeal : 132
movements : 132
along : 132
piece : 132
dustpan : 132
going : 132
questioned : 132
fuss : 132
soul : 264
blood : 264
became : 132
always : 528
drenched : 132
coming : 132
warmth : 264
own : 264
low : 132
face : 264
give : 132
stiffness : 132
sought : 132
brought : 264
swooned : 132
exposed : 132
life : 264
absorbed : 132
caught : 132
gold : 132
hair : 132
hard : 132
back : 132
medium : 132
up : 1056
repeated : 264
either : 132
gave : 264
lighting : 132
presence : 132
feeling : 132
down : 396
keep : 132
fear : 132
to : 4752
pull : 132
half : 528
round : 132
bowed : 132
must : 132
after : 132
dark : 660
bush : 132
burned : 132
so : 1056
mouth : 264
youth : 132
miriam : 792
physically : 132
that : 1716
than : 132
got : 660
jerking : 132
humble : 132
can : 264
packed : 132
god's : 132
treads : 132
about : 264
well : 132
longest : 132
child : 264
replied : 264
too : 264
feel : 132
cleaning : 132
strength : 132
expanding : 132
feet : 132
you : 3036
because--it's : 132
mistrusted : 132
milk-cans : 132
out : 132
very : 660
for : 792
suffering : 132
sucking : 132
blazed : 264
everything : 264
falling : 264
shrank : 132
leaves : 264
surcharged : 132
went : 660
algebra-book : 132
shimmer : 132
draw : 132
are : 792
can't : 132
shouldn't : 132
milk : 132
shadow : 132
pine : 264
occasions : 264
glad : 264
fascinating : 132
did : 264
concentrated : 132
table : 132
like : 1188
ruddy : 132
not : 1848
nor : 132
haven't : 132
sat : 396
wished : 132
say : 132
flare : 132
frail : 132
cried : 264
some : 528
shimmeriness : 132
suddenly : 132
might : 132
stream : 132
put : 264
rarely : 132
contact : 132
wanted : 396
kind : 264
watched : 132
particle : 132
seems : 264
trunks : 264
standing-up : 132
want : 660
just : 528
slowly : 132
extreme : 132
edgar : 396
let : 264
walked : 132
whilst : 264
brooded : 132
frown : 132
chagrin : 132
should : 528
utterly : 132
really : 132
shakes : 132
brother : 132
annie : 132
allowed : 132
but : 1716
hated : 264
afterwards : 132
anything--of : 132
mother's : 132
little : 528
courage : 132
shocked : 132
frightened : 132
used : 264
ponder : 132
been : 396
face--one : 132
hear : 132
were : 1716
half-laugh : 132
woman : 132
there's : 132
three : 132
swing : 132
head : 396
drew : 132
presently : 132
lace : 132
shape : 132
comes : 132
jump : 132
greenish : 132
even : 396
mary : 132
ever : 264
feelings : 132
other : 132
voice : 264
have : 396
one : 132
reynolds's : 132
kneeled : 132
fiercely : 132
flame : 396
because : 1056
another : 132
protoplasm : 132
girl : 132
scarcely : 396
fine : 132
pulled : 132
find : 132
lit : 132
with : 3168
buckets : 132
sweeping : 132
fidgety : 132
glanced : 132
glare : 132
came : 528
the : 8184
teach : 264
swaying : 132
women : 396
soft : 132
sing-song : 132
quite : 132
instead : 132
book : 396
furious : 132
File name: input/input_30.txt
occupied : 132
said : 1452
until : 132
answered : 132
over : 132
oven : 264
movement : 132
began : 264
she : 4884
curls : 132
something : 396
trifle : 132
seizing : 132
black : 264
breath : 132
these : 132
else : 132
asked : 396
told : 132
answer : 132
miles : 264
he : 9768
fetched : 132
touch : 132
upbraid : 132
pitched : 132
eat : 132
reve : 132
letters : 132
go : 924
du : 132
seated : 132
before : 528
made : 660
parted : 132
her--i--i : 132
interested : 264
de : 396
trouble : 132
could : 528
tumult : 132
write : 132
tell : 132
do : 792
ropes : 132
toujours : 132
sheet : 132
stood : 396
look : 132
firm : 132
a : 4092
stool : 132
ones : 132
won't : 132
oiseaux : 396
till : 132
i : 1980
history : 132
sit : 132
baudelaire's : 132
red : 264
rappelleras : 132
what : 792
nothing : 132
et : 528
returned : 264
y : 132
yet : 132
distressed : 132
body : 132
l'aube : 132
quiver : 132
averted : 132
you'd : 264
took : 528
by : 264
same : 132
long : 132
enough : 132
who : 132
kiss : 132
would : 792
rope : 132
any : 132
swathed : 264
friday : 264
had : 1056
be : 528
think : 132
get : 528
eager : 132
much : 264
and : 5544
better : 396
suggestion : 132
walk : 132
room : 132
does : 132
saying : 132
trampling : 132
wondered : 132
morel : 660
set : 132
matin : 132
soul's : 132
pretending : 264
pay : 132
showing : 132
all : 396
talk : 396
participle : 132
insulted : 132
fenetre : 132
chanson : 132
mais : 132
she'll : 132
surveyed : 132
at : 1452
as : 1848
still : 132
finished : 132
neither : 264
moved : 132
never : 396
see : 132
anyone : 132
am : 132
bitterly : 264
take : 132
brows : 132
there : 1056
inside : 132
off : 528
ticked : 132
badly : 132
petite : 132
why : 1320
nobody : 264
they : 660
inscrutable : 132
reason : 132
no : 660
of : 3168
twisted : 132
bread : 396
burnt : 132
i--and : 132
repay : 132
whit : 132
only : 660
on : 1320
her : 6600
curt : 132
late--but : 132
fetch : 264
m'ont : 132
forehead : 132
or : 264
done : 132
loaves : 132
gas : 132
sensible : 132
suppose : 132
biting : 132
sitting : 264
thinking : 264
desiccated : 132
them : 132
then : 528
her--she : 132
mother--you : 132
silence : 132
will : 264
lips : 264
ought : 132
shook : 264
nourished : 132
getting : 132
home : 264
gradually : 132
presque : 132
holy : 132
across : 132
aside : 132
conjugated : 132
cruel : 264
short : 132
highland : 132
distance : 132
where's : 132
ma : 132
buck : 132
rather : 264
me : 132
clock : 132
sateen : 132
bluish : 132
don't : 1056
beatrice's : 132
it's : 264
my : 528
master : 132
offending : 132
closely : 132
you're : 396
marks : 132
being : 264
terror : 132
intense : 132
entered : 132
him : 924
flung : 132
needn't : 264
every : 264
love : 660
almost : 264
his : 4092
gentle : 132
quelque : 132
when : 528
certainly : 132
whole--nor : 132
such : 132
bed : 132
liked : 132
here : 132
paul : 792
blouse : 132
le : 132
mother : 924
whole : 132
la : 264
this : 660
lost : 132
way : 528
writing : 132
from : 132
blossom : 132
father : 132
was : 6072
her--i : 132
real : 132
if : 1056
seemed : 264
toute : 132
read : 660
poem : 132
selby : 132
between : 132
beaute : 132
pantry : 132
those : 132
is : 792
it : 3300
your : 264
into : 792
il : 264
loved : 132
growing : 132
past : 132
in : 3300
arranging : 132
know : 660
tears : 132
luxury : 132
worse : 132
away : 264
balanced : 132
two : 132
shifted : 132
hurt : 528
felt : 528
looked : 792
naked : 132
night : 132
things : 264
local : 132
remained : 396
nottingham : 132
also : 132
beauteous : 132
found : 396
understand : 132
desecrated : 132
wrote : 132
knew : 264
its : 132
eyes : 264
turning : 132
overbearing : 132
staring : 132
est : 132
forward : 132
aussi : 132
drink : 132
tumbled : 132
etait : 132
movements : 132
lifted : 132
forgot : 264
entirely : 132
throat : 132
piece : 132
copy : 132
books : 132
going : 396
how : 264
soul : 132
quiet : 132
loaf : 396
afraid : 132
supper : 132
coming : 132
bottom : 132
lot : 132
own : 264
low : 132
we : 528
press : 132
sort : 132
pomegranate : 132
strands : 132
next : 132
running : 132
exposed : 132
life : 132
caught : 132
notice : 132
dilating : 132
hair : 660
crept : 132
mostly : 132
direct : 132
solitary : 132
encore : 132
trust : 132
come : 264
back : 396
seen : 132
un : 264
produced : 132
up : 660
field : 132
peering : 132
either : 132
doesn't : 264
pennies : 132
down : 528
quickly : 132
week : 132
to : 6336
chambre : 132
hug : 132
inner : 132
corrected : 132
eclaterent : 132
est-ce : 132
half : 132
springing : 132
round : 132
good : 396
te : 132
served : 132
must : 264
after : 132
stroking : 132
jerked : 132
dark : 132
follow : 132
imagine : 132
so : 1056
mouth : 132
white : 132
mater's : 132
moments : 132
miriam : 924
si : 132
but--it's : 132
that : 1188
ovenful : 132
than : 132
flattered : 132
burn : 132
lifting : 132
got : 264
quarter : 264
coloured : 132
can : 396
opposite : 132
curtly : 132
about : 132
breathing : 132
well : 264
hand : 132
shut : 132
precious : 132
rigorously : 132
above : 132
agrees : 132
que : 132
replied : 264
cri : 132
too : 792
feel : 132
engrossed : 132
you : 2376
dans : 264
yon : 132
anything : 132
humbly : 132
shyly : 132
bent : 132
out : 528
very : 396
for : 2640
trapseing : 132
angry : 264
bring : 132
towards : 264
terreur : 132
went : 264
can't : 132
drive : 132
slid : 132
ignoring : 132
faisait : 132
vif : 132
insisted : 132
singing : 132
fascinating : 132
guilty : 132
again : 396
did : 792
bois : 132
table : 264
like : 924
without : 132
ruddy : 132
not : 1716
present : 132
nor : 396
haven't : 264
sat : 1056
now : 264
tired : 132
saw : 528
ask : 132
some : 528
tickled : 132
crouched : 132
might : 264
suddenly : 396
passionately : 132
des : 264
j'avais : 132
put : 132
diary : 264
remove : 132
twopence : 132
pair : 132
trying : 264
dared : 132
wanted : 396
voyez : 132
watched : 264
seems : 132
upset : 264
want : 660
just : 264
well--then : 132
les : 528
let : 396
should : 264
wouldn't : 132
really : 264
annie : 132
tous : 264
swift : 132
but : 924
reading : 264
hate : 132
mother's : 132
little : 264
been : 264
were : 1188
turned : 264
there's : 396
three : 132
head : 264
custom : 132
sense : 132
chose : 132
comes : 132
unwrapped : 132
scoring : 132
fly : 132
thick : 132
food : 132
even : 264
bidding : 132
calm : 132
postcards : 132
other : 132
voice : 132
have : 924
glumly : 132
behaviour : 132
paper : 132
vous : 132
one : 396
object : 132
push : 132
because : 396
hanging : 132
girl : 132
scarcely : 264
during : 132
elbows : 132
fine : 264
find : 132
with : 2640
minutes : 132
matter : 132
rich : 132
tense : 132
lock : 132
avoir : 132
the : 8580
came : 264
soft : 132
m'eveillent : 132
beside : 132
quite : 132
instead : 264
pushed : 132
started : 396
their : 132
File name: input/input_15.txt
said : 3168
holding : 132
bright : 132
answered : 264
hopping : 132
time : 264
over : 396
she : 6204
curls : 132
bare : 132
deep : 264
black : 264
these : 132
asked : 132
corns : 132
told : 132
he : 4884
fowls : 396
bit : 264
dilated : 132
herself : 132
fawn : 132
big : 396
bitten : 132
heaped : 132
embraced : 132
go : 528
she's : 264
superior : 132
made : 132
sweetheart : 132
interested : 132
drawing : 132
she'd : 132
guelder-roses : 132
smiled : 132
tell : 132
do : 792
man : 132
maurice : 132
stood : 528
look : 528
purple : 132
a : 8976
bird's : 132
morning : 132
won't : 132
till : 132
broke : 132
i : 1848
cabbage-roses : 132
bird : 264
new : 396
red : 264
what : 396
beak : 132
hastened : 132
pasture's : 132
trepidation : 132
oaks : 132
heron--see--see : 132
took : 396
by : 264
bobbed : 132
heron : 132
would : 132
eyeing : 132
motion : 132
had : 1320
smiling : 132
be : 528
parlour--a : 132
darkening : 132
get : 528
seeing : 132
learn : 132
much : 396
and : 8316
calves : 132
geoffrey : 132
near : 132
i'd : 660
against : 264
laughed : 132
i'm : 528
good-looking : 132
does : 264
morel : 264
tried : 132
wheeled : 132
through : 528
kneeling : 132
safely : 132
mocking : 132
farm : 396
ecstasy : 132
hands : 132
barked : 132
coal : 132
men : 264
pond : 132
all : 264
appeared : 132
talk : 264
sides : 132
parallel : 132
screwed : 132
makes : 132
lay : 132
at : 924
as : 660
still : 264
cows : 132
burdened : 132
never : 396
flush : 132
great : 396
which : 132
see : 528
take : 132
am : 264
an : 396
there : 132
off : 264
brown : 396
resentful : 264
william : 396
they : 2244
somehow : 132
no : 264
door : 132
leivers : 528
bother : 132
of : 5808
help : 396
glade : 132
overhead : 132
among : 132
on : 1452
only : 924
her : 2376
hen : 660
rosy : 132
wild : 264
heart : 264
or : 132
done : 132
happiness : 132
son : 396
bad : 132
scent : 132
prime : 132
rose : 132
suppose : 660
biting : 132
railed : 132
then : 660
will : 132
ought : 132
shook : 132
small : 264
upon : 132
home : 132
broad : 132
holidays : 132
thought : 132
dragged : 132
nips : 264
looking : 264
short : 132
thank : 132
screamed : 132
riding : 132
oak : 264
boys : 660
rather : 528
me : 264
flooded : 132
held : 132
thankful : 264
willey : 132
green : 396
beautiful : 396
waited : 132
don't : 396
it's : 396
my : 528
farming : 132
thinks : 132
earth : 132
pointing : 132
save : 132
last : 264
terror : 132
being : 132
intense : 132
him : 528
every : 132
where : 396
beloved : 132
almost : 132
more : 396
his : 2640
when : 660
cowards : 264
perfectly : 264
peck : 792
flowers : 264
everywhere : 132
such : 132
means : 132
new-mown : 132
paul : 1320
mother : 924
apple : 132
lightly : 132
thin : 132
bridge : 132
this : 396
scrambling : 132
moon : 132
lost : 132
floury : 132
feeding : 132
way : 396
from : 528
believe : 132
shaking : 132
blossom : 132
was : 4356
while : 264
if : 660
seemed : 132
below : 132
path : 132
apples : 132
is : 528
it : 1980
rabbits : 132
your : 132
into : 1056
quoted : 132
in : 4488
know : 132
two : 396
hurt : 396
plan : 132
felt : 132
looked : 264
blue : 132
hostile : 132
feats : 132
found : 396
swinging : 132
passed : 132
wood : 396
petals : 132
nice : 132
they'll : 132
its : 264
yellow : 132
ready : 264
hung : 264
showed : 132
eyes : 132
forward : 264
sunshine : 264
year : 132
along : 396
fourteen : 132
alone : 132
piece : 132
turn : 132
prove : 132
going : 528
how : 132
under : 396
quiet : 132
wandered : 132
overhanging : 132
observed : 132
floor : 132
simply : 132
men's : 132
breasts : 132
dunno : 132
fenced : 132
coming : 264
own : 264
twelve : 132
low : 528
eyed : 132
gingerly : 132
common : 132
next : 132
brought : 132
strength--she : 132
exclaimed : 264
s'll : 132
figure : 132
life : 132
notice : 132
we'll : 132
come : 264
back : 660
front : 132
young : 132
tossing : 132
up : 660
repeated : 132
field : 132
gave : 264
rustling : 132
sorry : 264
doesn't : 396
down : 396
dog : 132
garden : 132
quickly : 264
week : 132
keep : 132
to : 5280
hills : 132
climbed : 132
thicket : 132
half : 264
round : 396
must : 132
handled : 132
alley : 132
after : 132
forget-me-nots : 132
dark : 528
care : 132
eldest : 264
taken : 132
dare : 132
fields : 132
so : 264
behind : 132
white : 264
pale : 132
lake : 132
pools : 132
miriam : 792
that : 924
clapped : 132
anger : 132
than : 264
recite : 132
got : 264
sorts : 132
rigged : 132
can : 396
smelling : 132
about : 660
corn : 528
hand : 264
golden-brown : 132
pigs : 132
dirty : 132
bunch : 528
replied : 396
too : 132
feel : 396
you : 1188
soon : 132
cry : 132
bluebells : 132
dursn't : 396
anything : 264
directed : 264
high : 132
our : 132
very : 660
out : 792
person : 132
for : 1188
falling : 132
house : 132
towards : 132
leaves : 132
went : 1980
open : 132
are : 528
shouldn't : 132
can't : 264
intimate : 132
pink : 132
agile : 132
pine : 132
apple-blossom : 132
glad : 132
we're : 264
knocks : 132
flushed : 132
again : 132
did : 528
wasn't : 132
like : 660
approached : 132
putting : 132
shall : 132
not : 660
fence : 132
clown : 132
gillivers : 132
nowt : 132
trees : 132
saw : 132
years : 132
frail : 132
cried : 132
some : 660
durst : 132
suddenly : 264
shame : 132
put : 396
doorway : 132
maize : 132
constantly : 132
ground : 132
pain : 132
wanted : 396
they've : 132
private : 132
rent : 132
end : 264
just : 264
edge : 132
edgar : 132
walked : 132
let : 528
whilst : 132
wouldn't : 264
shouting : 132
lily : 132
fingered : 132
hugely : 132
old : 132
but : 1452
little : 1188
dipping : 132
used : 264
tea : 264
together : 132
been : 264
hasn't : 264
heap : 132
were : 1584
sent : 132
turned : 132
niver : 132
grand : 132
woman : 264
there's : 132
three : 132
survey : 132
drew : 132
presently : 264
sure : 132
middling : 132
except : 264
jump : 132
crimson : 264
town : 132
golden : 132
ever : 264
fear--rather : 132
bumps : 132
stop : 132
warm : 132
other : 132
voice : 132
have : 660
one : 396
informing : 132
fir : 132
because : 396
minute : 132
another : 132
crouching : 132
girl : 528
scarcely : 132
full : 264
shrinking : 132
they're : 264
fine : 132
weren't : 132
find : 132
wheat : 132
boor : 132
with : 3696
fumy : 132
the : 14256
came : 792
woods : 132
women : 264
hedge : 132
bushes : 132
quite : 132
lads : 132
cluster : 132
lady : 132
started : 264
their : 396
first : 132
File name: input/input_07.txt
occupied : 132
said : 1848
dogs : 132
bright : 132
father's : 396
until : 132
answered : 132
time : 132
over : 1056
feverish : 132
began : 264
she : 1452
something : 264
right : 132
bare : 132
black : 264
arthur : 264
these : 264
asked : 264
chattered : 132
scattering : 132
he : 5412
miles : 132
sleep : 396
clung : 132
fowls : 132
fetched : 132
bit : 132
touch : 132
mosses : 132
obliterated : 132
air : 132
sick : 132
keeping : 132
each : 264
big : 132
patriarchal : 132
retiring : 132
go : 528
greenhill : 132
before : 396
john : 132
made : 264
chiefly : 132
larks : 132
jammed : 132
relief : 132
de : 132
realised : 132
bretty : 132
stairs : 132
puddings : 132
could : 1056
usually : 528
examined : 132
grew : 132
do : 528
tell : 264
pansies : 132
wet : 132
crawled : 132
man : 132
stood : 264
bear : 132
look : 132
vapour : 132
pits : 132
a : 5940
snowflakes : 132
accepting : 264
won't : 132
till : 264
fire : 396
i : 264
sit : 132
new : 264
fluffy : 132
red : 132
comfort : 132
en : 132
legs : 132
having : 528
yet : 132
body : 132
stall : 264
drinking : 132
drop : 132
waiting-room : 132
doubtfully : 132
spite : 132
disturbed : 132
trembling : 132
long : 396
same : 264
admonitions : 132
backs : 132
fate : 132
who : 528
would : 924
glowered : 132
patriarch : 132
delighted : 132
friday : 528
aggravate : 132
light : 132
had : 660
be : 924
names--they : 132
think : 132
bested : 132
get : 264
watch : 396
far : 132
